MONTH,YEAR,number_of_calls
1,2018,17
1,2019,10
1,2020,25
1,2021,44
1,2022,42
2,2018,28
2,2019,24
2,2020,34
2,2021,42
2,2022,62
3,2017,12
3,2018,20
3,2019,48
3,2020,42
3,2021,50
3,2022,50
4,2017,33
4,2018,16
4,2019,56
4,2020,25
4,2021,57
4,2022,49
5,2017,22
5,2018,20
5,2019,52
5,2020,36
5,2021,67
5,2022,66
6,2017,30
6,2018,20
6,2019,37
6,2020,44
6,2021,69
6,2022,52
7,2017,34
7,2018,28
7,2019,63
7,2020,49
7,2021,56
7,2022,76
8,2017,46
8,2018,37
8,2019,26
8,2020,89
8,2021,51
8,2022,63
9,2017,28
9,2018,38
9,2019,26
9,2020,68
9,2021,51
9,2022,58
10,2017,19
10,2018,33
10,2019,30
10,2020,51
10,2021,53
10,2022,54
11,2017,26
11,2018,41
11,2019,27
11,2020,34
11,2021,48
11,2022,51
12,2017,31
12,2018,27
12,2019,25
12,2020,41
12,2021,58
12,2022,42
